City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ponta do Sol,32.67,-17.1,71.6,64,40,10.29,PT,1593574192
Busselton,-33.65,115.33,54.0,84,72,5.01,AU,1593573942
Saint George,37.1,-113.58,84.99,10,1,6.93,US,1593574193
Bang Saphan,11.21,99.51,87.8,74,40,5.82,TH,1593574193
Bredasdorp,-34.53,20.04,46.4,93,0,4.7,ZA,1593574193
Arica,-18.48,-70.3,60.53,80,95,2.44,CL,1593574065
Hong Kong,22.29,114.16,90.0,79,100,7.0,HK,1593574126
Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1593574193
Carnarvon,-24.87,113.63,69.8,64,0,17.22,AU,1593574193
Alice Springs,-23.7,133.88,78.8,21,0,8.05,AU,1593574089
Flin Flon,54.77,-101.86,60.91,84,88,11.43,CA,1593574193
Pucallpa,-8.38,-74.55,74.23,80,0,1.34,PE,1593573966
Saint-Philippe,-21.36,55.77,66.2,48,0,9.17,RE,1593574193
Vaini,-21.2,-175.2,75.2,73,75,10.29,TO,1593574193
Saskylakh,71.92,114.08,84.81,35,98,7.94,RU,1593574193
Rikitea,-23.12,-134.97,69.28,64,32,19.93,PF,1593574194
Tiksi,71.69,128.87,51.93,54,97,10.27,RU,1593574194
Faanui,-16.48,-151.75,77.92,75,12,24.67,PF,1593574194
Atuona,-9.8,-139.03,79.83,74,3,21.74,PF,1593574194
Kapaa,22.08,-159.32,84.2,66,20,10.29,US,1593574081
Ekenäs,59.97,23.43,57.0,96,98,1.99,FI,1593574194
Cockburn Town,21.46,-71.14,82.54,78,4,15.5,TC,1593574194
Lompoc,34.64,-120.46,59.0,82,0,8.05,US,1593573903
Buluang,13.31,123.34,89.82,59,81,5.08,PH,1593574194
Hilo,19.73,-155.09,84.2,54,40,12.75,US,1593574194
Ribeira Grande,38.52,-28.7,66.58,94,66,8.32,PT,1593574194
Turukhansk,65.82,87.98,59.58,67,73,16.87,RU,1593574194
Majene,-3.54,118.97,82.83,72,46,9.15,ID,1593574194
Weligama,5.97,80.42,82.78,78,60,8.99,LK,1593574194
Albany,42.6,-73.97,64.99,92,98,2.44,US,1593574194
Hermanus,-34.42,19.23,59.45,65,0,3.47,ZA,1593574194
Ushuaia,-54.8,-68.3,26.6,86,0,4.7,AR,1593574195
Butaritari,3.07,172.79,83.35,71,0,6.96,KI,1593574195
Nālūt,30.33,10.85,77.0,34,0,10.42,LY,1593574195
Chokurdakh,70.63,147.92,61.18,30,13,10.0,RU,1593574195
Palana,59.12,159.97,47.05,70,100,20.09,RU,1593574195
Zvolen,48.57,19.15,55.4,100,20,1.28,SK,1593574195
Kavaratti,10.57,72.64,77.0,94,90,4.7,IN,1593574195
Bethel,41.37,-73.41,66.2,93,40,3.36,US,1593573918
Yar-Sale,66.83,70.83,50.47,67,85,10.49,RU,1593574195
Avarua,-21.21,-159.78,78.8,74,39,16.11,CK,1593574195
Madimba,-10.4,40.33,71.42,69,49,15.64,TZ,1593574195
Santeramo in Colle,40.79,16.76,69.8,88,5,3.36,IT,1593574195
Port Alfred,-33.59,26.89,55.99,80,0,1.01,ZA,1593574195
Nouadhibou,20.93,-17.03,69.8,83,0,12.75,MR,1593574195
Berlevåg,70.86,29.09,44.1,93,100,21.74,NO,1593574196
Uglekamensk,43.22,133.23,83.44,36,71,4.12,RU,1593574196
Wakkanai,45.41,141.67,62.6,88,75,10.29,JP,1593574196
Vao,-22.67,167.48,67.73,68,10,18.25,NC,1593574196
Asmara,15.33,38.93,63.1,62,3,6.06,ER,1593574196
Petropavlovsk-Kamchatskiy,53.05,158.65,73.4,46,36,13.42,RU,1593574196
Hede,33.77,120.25,82.36,51,31,3.83,CN,1593574196
Vila Franca do Campo,37.72,-25.43,66.99,88,75,3.36,PT,1593574196
Sitka,57.05,-135.33,55.4,76,75,13.87,US,1593574196
Yellowknife,62.46,-114.35,78.01,33,75,5.82,CA,1593574196
Vila Velha,-20.33,-40.29,69.8,88,40,4.7,BR,1593574196
Pevek,69.7,170.31,37.92,86,100,11.43,RU,1593574196
Broken Hill,-31.95,141.43,68.0,24,0,17.22,AU,1593574196
Ürümqi,43.8,87.6,75.2,33,21,4.47,CN,1593574197
Severo-Kuril'sk,50.68,156.12,51.8,69,5,8.81,RU,1593574197
Nuuk,64.18,-51.72,42.8,87,76,3.36,GL,1593574070
Redwater,33.36,-94.25,81.0,78,1,4.7,US,1593574197
Constitución,-35.33,-72.42,53.04,79,100,6.53,CL,1593574197
Khatanga,71.97,102.5,76.3,37,37,3.58,RU,1593574197
Mount Gambier,-37.83,140.77,59.0,58,40,14.99,AU,1593574197
Bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1593574197
Cape Town,-33.93,18.42,46.99,93,0,4.7,ZA,1593574129
Sisimiut,66.94,-53.67,50.5,57,100,11.3,GL,1593574197
Panubigan,7.43,123.35,81.0,79,95,5.14,PH,1593574197
Sühbaatar,50.23,106.21,77.74,43,0,11.39,MN,1593574197
Żurrieq,35.83,14.47,73.99,83,0,3.36,MT,1593574197
Poya,-21.35,165.15,71.76,51,33,11.34,NC,1593574197
Yebaishou,41.4,119.64,76.35,52,95,6.29,CN,1593574198
Ures,29.43,-110.4,91.0,45,43,5.99,MX,1593574198
Dhārchula,29.85,80.53,75.02,67,74,3.33,IN,1593574198
Chui,-33.7,-53.46,56.14,92,100,12.57,UY,1593574198
Jiehu,35.54,118.45,85.86,38,66,2.06,CN,1593574198
Tres Arroyos,-38.37,-60.28,42.58,84,97,8.9,AR,1593574198
Namatanai,-3.67,152.43,85.1,67,71,6.22,PG,1593574198
Thompson,55.74,-97.86,62.6,82,40,10.29,CA,1593574198
Marzuq,14.4,46.47,80.17,49,100,7.38,YE,1593574198
Shingū,33.73,135.98,77.0,88,75,6.93,JP,1593574198
Touho,-20.78,165.23,70.52,61,38,11.45,NC,1593574198
Lebu,-37.62,-73.65,51.31,92,100,24.16,CL,1593574198
Pak Phanang,8.35,100.2,91.4,75,40,2.24,TH,1593574198
Galle,6.04,80.22,82.36,80,77,9.22,LK,1593574199
Kaitangata,-46.28,169.85,46.0,61,100,7.0,NZ,1593574199
Dikson,73.51,80.55,43.11,94,9,16.46,RU,1593574199
Leh,34.17,77.58,58.89,35,31,6.24,IN,1593574199
Alofi,-19.06,-169.92,82.4,78,75,9.17,NU,1593574071
Dingle,11.0,122.67,88.25,61,61,4.79,PH,1593574199
Port Blair,11.67,92.75,83.28,76,100,15.7,IN,1593574199
The Valley,18.22,-63.06,82.4,74,20,10.29,AI,1593574199
Sinnamary,5.38,-52.95,78.04,87,100,8.79,GF,1593574199
Khovd,48.01,91.64,61.72,52,98,8.55,MN,1593574199
Barrow,71.29,-156.79,37.4,93,90,11.41,US,1593574199
Sangar,63.92,127.47,77.29,41,76,4.38,RU,1593574199
Jamestown,42.1,-79.24,64.4,82,1,4.25,US,1593573989
Puri,19.8,85.85,87.8,84,40,8.05,IN,1593574199
Provideniya,64.38,-173.3,46.4,87,90,11.18,RU,1593574200
Codrington,-38.27,141.97,59.79,57,0,19.66,AU,1593574200
Grand Gaube,-20.01,57.66,68.0,79,7,3.0,MU,1593574200
Inta,66.03,60.17,50.09,64,100,13.27,RU,1593574200
Santa Barbara,34.42,-119.7,66.0,77,1,3.36,US,1593573931
Port Elizabeth,-33.92,25.57,48.2,93,0,4.7,ZA,1593574200
Novyy Svit,47.81,38.02,68.94,76,21,3.85,UA,1593574200
Huarmey,-10.07,-78.15,60.57,85,57,7.94,PE,1593574200
College,64.86,-147.8,54.0,71,75,3.36,US,1593574200
Jaqué,7.52,-78.17,77.61,84,100,1.21,PA,1593574200
Kruisfontein,-34.0,24.73,54.63,52,0,10.69,ZA,1593574200
Qaanaaq,77.48,-69.36,37.99,76,0,2.26,GL,1593574200
Sept-Îles,50.2,-66.38,53.6,93,20,2.24,CA,1593574201
Topolobampo,25.6,-109.05,82.99,80,58,1.99,MX,1593574162
Lagoa,39.05,-27.98,63.93,86,94,10.63,PT,1593574201
Kawalu,-7.38,108.21,78.85,77,72,4.54,ID,1593574201
Mahāsamund,21.1,82.1,82.4,88,40,10.29,IN,1593574201
Takoradze,4.88,-1.76,75.45,82,75,5.88,GH,1593574201
Coos Bay,43.37,-124.22,61.0,87,75,12.75,US,1593574025
Kiryat Gat,31.61,34.76,71.01,93,0,6.11,IL,1593574201
Mount Isa,-20.73,139.5,80.6,28,14,10.29,AU,1593574201
Grand Forks,47.93,-97.03,75.2,93,75,14.99,US,1593574201
Salalah,17.02,54.09,84.2,89,90,5.82,OM,1593574201
Micheweni,-4.97,39.83,76.48,80,7,15.48,TZ,1593574202
Avera,33.19,-82.53,80.6,78,1,3.36,US,1593574202
Tuatapere,-46.13,167.68,39.0,83,99,3.0,NZ,1593574202
Bodden Town,19.28,-81.25,82.99,74,4,5.01,KY,1593574202
Torbay,47.67,-52.73,68.0,100,90,21.92,CA,1593574202
Luwuk,-0.95,122.79,78.37,81,100,3.71,ID,1593574203
Kamenka,51.32,42.77,60.01,78,79,1.99,RU,1593574203
Naranjal,-2.67,-79.62,73.99,83,20,11.41,EC,1593574203
Rena,61.13,11.36,37.99,90,89,6.87,NO,1593574203
Verāval,20.9,70.37,85.21,75,16,6.76,IN,1593573960
Kavieng,-2.57,150.8,83.73,75,26,10.4,PG,1593574203
Cabo San Lucas,22.89,-109.91,79.0,90,0,1.01,MX,1593573907
Kirakira,-10.45,161.92,81.97,77,35,11.48,SB,1593574203
Oranjemund,-28.55,16.43,62.02,35,0,3.13,NA,1593574203
Fomboni,-12.28,43.74,77.9,75,15,22.55,KM,1593574203
Havelock,34.88,-76.9,78.01,83,75,5.75,US,1593574203
Katsuura,35.13,140.3,79.0,94,75,19.46,JP,1593573975
Acaraú,-2.89,-40.12,75.18,82,0,8.41,BR,1593574204
Senhor do Bonfim,-10.46,-40.19,64.27,94,31,4.09,BR,1593574204
Charters Towers,-20.1,146.27,72.88,56,92,13.62,AU,1593574204
Airai,-8.93,125.41,72.0,55,6,4.5,TL,1593574204
Inhambane,-23.86,35.38,65.93,78,35,9.78,MZ,1593574204
Cam Ranh,11.92,109.16,87.8,70,20,9.17,VN,1593574204
Nikolskoye,59.7,30.79,62.01,82,40,13.42,RU,1593574204
Castro,-24.79,-50.01,58.37,92,88,12.46,BR,1593574201
Oktyabr'skoye,43.06,44.74,66.2,72,27,2.24,RU,1593574204
Waipawa,-41.41,175.52,48.2,70,100,34.45,NZ,1593574204
Pokhara,28.23,83.98,76.14,80,86,3.24,NP,1593574205
Grand-Santi,4.25,-54.38,73.0,97,64,1.43,GF,1593574205
Port Lincoln,-34.73,135.87,61.9,66,0,29.82,AU,1593574205
Upernavik,72.79,-56.15,37.74,79,39,11.7,GL,1593574205
Tura,25.52,90.22,85.19,74,0,4.94,IN,1593574205
Manakara,-22.13,48.02,66.54,88,97,8.1,MG,1593574205
Chernyshevskiy,63.01,112.47,85.69,31,46,7.34,RU,1593574205
Olafsvik,64.89,-23.71,49.46,82,57,6.44,IS,1593574205
Kolokani,13.57,-8.03,80.19,67,62,11.1,ML,1593574205
East London,-33.02,27.91,53.6,81,0,4.7,ZA,1593574205
Husavik,66.04,-17.34,37.4,93,0,3.36,IS,1593574205
Puerto Ayora,-0.74,-90.35,70.0,90,79,8.01,EC,1593574205
Pacific Grove,36.62,-121.92,57.99,87,90,10.29,US,1593574206
Kenai,60.55,-151.26,64.4,51,1,10.29,US,1593574206
Bambous Virieux,-20.34,57.76,68.0,93,40,6.93,MU,1593574206
Sylva,58.03,56.76,55.4,66,1,4.47,RU,1593574206
Narasannapeta,18.42,84.05,89.91,61,10,7.67,IN,1593574206
Srednekolymsk,67.45,153.68,62.56,36,2,12.19,RU,1593574207
Palafrugell,41.92,3.16,72.0,50,0,7.38,ES,1593574207
Örebro,59.27,15.21,55.4,87,74,6.93,SE,1593574207
Geraldton,-28.77,114.6,64.4,77,90,13.87,AU,1593574207
Mana,5.66,-53.78,77.41,89,99,7.18,GF,1593574207
Cidreira,-30.18,-50.21,56.52,75,44,27.34,BR,1593574207
Thinadhoo,0.53,72.93,84.0,63,61,2.86,MV,1593574207
Arraial do Cabo,-22.97,-42.03,71.6,83,99,11.41,BR,1593574207
Marabu,4.41,114.01,87.8,74,40,5.82,MY,1593574207
Teahupoo,-17.83,-149.27,80.6,54,20,14.99,PF,1593574208
Saint Paul Harbor,57.79,-152.41,59.0,62,1,4.7,US,1593574208
São José da Coroa Grande,-8.9,-35.15,75.06,84,7,7.99,BR,1593574208
Salina,38.84,-97.61,88.0,62,1,9.17,US,1593574202
Paamiut,61.99,-49.67,39.16,95,100,2.73,GL,1593574208
Buala,-8.14,159.59,83.05,75,62,6.4,SB,1593574208
Tadine,-21.55,167.88,70.29,62,3,14.09,NC,1593574208
Pingliang,35.54,106.69,78.6,35,100,9.84,CN,1593574209
Dunedin,-45.87,170.5,44.01,85,100,3.0,NZ,1593574209
Souillac,-20.52,57.52,62.6,93,40,6.93,MU,1593574209
Andilamena,-17.02,48.58,55.42,90,95,4.74,MG,1593574210
San Andrés,12.58,-81.7,82.4,83,75,9.17,CO,1593574210
Luoyang,34.68,112.45,93.99,99,99,3.83,CN,1593574003
Yerbogachën,61.28,108.01,86.99,37,100,2.46,RU,1593574210
Ketchikan,55.34,-131.65,64.4,55,1,9.17,US,1593574210
Bariloche,-41.15,-71.31,35.01,88,90,8.05,AR,1593574044
Pangai,-19.8,-174.35,77.0,83,75,8.05,TO,1593574211
Ucluelet,48.93,-125.55,55.99,83,2,1.99,CA,1593574211
Hasaki,35.73,140.83,79.0,83,75,18.34,JP,1593574211
Porto Walter,-8.27,-72.74,71.73,90,2,0.56,BR,1593574211
Russell,32.35,-85.2,75.2,94,90,2.21,US,1593574211
Geneva,46.2,6.15,64.0,82,90,3.36,CH,1593574211
Malmedy,50.43,6.03,59.0,87,75,5.82,BE,1593574211
Gerāsh,27.67,54.14,82.4,45,0,8.9,IR,1593574211
Taoudenni,22.68,-3.98,91.6,11,0,9.4,ML,1593574211
San Patricio,19.22,-104.7,80.2,80,94,6.6,MX,1593574211
Taltal,-25.4,-70.48,59.47,58,0,6.73,CL,1593574211
Vardø,70.37,31.11,46.4,93,75,13.87,NO,1593574212
Castlegar,49.3,-117.67,57.0,89,69,13.0,CA,1593574212
Rurrenabaque,-14.44,-67.53,70.93,87,38,0.85,BO,1593574212
Hobart,-42.88,147.33,57.2,62,20,11.41,AU,1593574148
Havre-St-Pierre,50.23,-63.6,59.0,93,1,4.7,CA,1593574212
Punta Arenas,-53.15,-70.92,23.0,92,2,2.24,CL,1593574212
Rabo de Peixe,37.8,-25.58,66.99,88,75,3.36,PT,1593574212
Hofn,64.25,-15.21,43.57,78,56,2.64,IS,1593574212
Belaya Gora,68.53,146.42,65.68,30,55,7.02,RU,1593574212
Buchanan,5.88,-10.05,75.2,94,75,6.51,LR,1593574212
Bellefontaine,40.36,-83.76,75.2,64,1,6.93,US,1593574212
Lüderitz,-26.65,15.16,59.0,24,0,6.93,NA,1593574212
Tambura,5.6,27.47,66.96,98,59,1.92,SS,1593574212
Nishihara,26.18,127.76,84.2,83,90,16.11,JP,1593574213
Port Hardy,50.7,-127.42,57.2,76,75,11.41,CA,1593574206
Port Shepstone,-30.74,30.45,58.82,82,8,10.54,ZA,1593574213
Sijunjung,-0.69,100.95,88.54,50,71,1.16,ID,1593574213
Ilulissat,69.22,-51.1,42.8,75,100,1.12,GL,1593574213
Kindu,-2.95,25.95,68.47,96,52,2.73,CD,1593574213
Yamada,39.47,141.95,75.02,78,100,3.89,JP,1593574213
Gladstone,-23.85,151.25,73.4,56,40,13.87,AU,1593574213
Qingdao,36.1,120.37,87.01,51,40,6.71,CN,1593574213
Zermatt,46.02,7.75,62.6,93,20,13.87,CH,1593574213
New Norfolk,-42.78,147.06,53.01,77,19,3.91,AU,1593574213
George Town,5.41,100.34,87.8,74,20,5.82,MY,1593574214
Tasiilaq,65.61,-37.64,44.6,52,100,12.75,GL,1593574214
Niterói,-22.88,-43.1,77.0,69,99,16.11,BR,1593574214
Mackay,-21.15,149.2,73.4,73,40,13.87,AU,1593574214
Sistranda,63.73,8.83,46.4,75,40,8.05,NO,1593574214
Papara,-3.98,-38.73,78.8,78,40,2.24,BR,1593574214
Tuktoyaktuk,69.45,-133.04,48.2,87,90,18.34,CA,1593574214
San Quintín,30.48,-115.95,62.08,84,0,8.57,MX,1593574214
Limbang,4.75,115.0,89.6,66,75,4.7,MY,1593574214
Santiago de Cuba,20.02,-75.82,75.2,94,20,5.82,CU,1593574214
Mogila,41.11,21.38,65.86,75,0,1.74,MK,1593574214
Kodinsk,58.69,99.18,83.55,35,15,5.88,RU,1593574214
Iqaluit,63.75,-68.51,39.2,80,20,2.39,CA,1593574214
Onguday,50.75,86.15,67.84,56,95,1.99,RU,1593574215
Samarai,-10.62,150.67,78.35,84,95,18.37,PG,1593574215
Jega,12.22,4.38,78.64,74,97,8.21,NG,1593574215
Daru,-9.08,143.21,79.47,79,79,14.54,PG,1593574215
Batemans Bay,-35.72,150.18,70.0,41,42,1.01,AU,1593574215
Mar del Plata,-38.0,-57.56,48.99,70,90,20.8,AR,1593574215
Lata,40.16,-8.33,64.0,92,100,3.0,PT,1593574215
Sola,-13.88,167.55,77.23,80,99,26.78,VU,1593574215
Dangtu,31.57,118.49,82.4,69,75,6.71,CN,1593574215
Kryve Ozero,47.95,30.35,64.87,81,0,6.73,UA,1593574216
West Wendover,40.74,-114.07,66.2,42,1,13.87,US,1593574216
Karratha,-20.74,116.85,84.6,26,64,11.39,AU,1593574216
Syamzha,60.02,41.06,52.52,98,100,9.13,RU,1593574216
Wanaka,-44.7,169.15,37.11,78,2,3.91,NZ,1593574216
Trairi,-3.28,-39.27,74.48,90,0,7.07,BR,1593574216
Atherton,53.52,-2.49,55.99,92,93,1.01,GB,1593574216
Ostrovnoy,68.05,39.51,57.04,67,100,20.31,RU,1593574216
Mamit,23.93,92.48,80.6,83,75,6.93,IN,1593574216
Kahului,20.89,-156.47,87.8,48,20,17.22,US,1593574216
Hamilton,39.18,-84.53,75.0,94,1,2.62,US,1593574217
Saldanha,-33.01,17.94,48.2,87,0,5.82,ZA,1593574217
Rocha,-34.48,-54.33,52.07,90,100,33.69,UY,1593574046
Víctor Rosales,22.95,-102.7,68.0,68,75,6.93,MX,1593574217
Burnie,-41.07,145.92,54.0,77,33,13.0,AU,1593574217
Bull Savanna,17.89,-77.59,76.28,84,100,6.51,JM,1593574217
Anadyr,64.75,177.48,44.6,100,75,4.21,RU,1593574217
Chiang Klang,19.29,100.86,84.2,79,75,8.05,TH,1593574217
Chicama,-7.84,-79.15,62.51,83,34,4.5,PE,1593574217
Necochea,-38.55,-58.74,46.0,78,89,10.0,AR,1593574217
Leningradskiy,69.38,178.42,36.1,95,95,5.53,RU,1593574217
Valparaíso,-33.04,-71.63,51.8,93,95,2.24,CL,1593574045
Pochutla,15.74,-96.47,77.0,92,100,3.69,MX,1593574218
Santa Rosalía,27.32,-112.28,84.38,49,14,12.19,MX,1593574218
Örnsköldsvik,63.29,18.72,48.2,70,100,12.75,SE,1593574069
Filiatrá,37.15,21.58,75.0,82,0,5.95,GR,1593574218
Moctezuma,29.8,-109.67,84.58,35,67,7.76,MX,1593574218
Bealanana,-14.55,48.73,52.83,62,0,3.42,MG,1593574218
Bonavista,48.65,-53.11,58.75,94,41,16.69,CA,1593574218
