City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ponta Delgada,37.73,-25.67,66.99,88,75,3.36,PT,1593574219
Puerto Armuelles,8.28,-82.87,68.0,71,100,8.01,PA,1593574219
Teavaro,-17.5,-149.77,80.6,54,20,14.99,PF,1593574219
Kungsbacka,57.49,12.08,60.01,87,90,16.11,SE,1593574219
Road Town,18.42,-64.62,82.99,84,37,13.0,VG,1593574219
Mareeba,-17.0,145.43,71.6,94,90,14.99,AU,1593574219
Sibolga,1.74,98.78,86.77,63,74,3.83,ID,1593574219
Kathu,7.92,98.33,86.0,74,40,4.7,TH,1593574219
Cherskiy,68.75,161.3,55.85,52,72,19.26,RU,1593574220
Kachug,53.96,105.88,84.96,35,9,3.74,RU,1593574220
Zhangye,38.93,100.45,83.21,15,0,4.14,CN,1593574220
San Cristobal,7.77,-72.22,65.64,83,15,2.26,VE,1593574142
Kumluca,36.37,30.29,83.5,35,0,6.44,TR,1593574220
Kautokeino,69.01,23.04,40.71,91,100,17.38,NO,1593574220
Bekwai,6.45,-1.58,69.82,98,100,2.68,GH,1593574220
Nouakchott,18.09,-15.98,74.25,85,0,8.68,MR,1593573922
Los Llanos de Aridane,28.66,-17.92,69.8,88,90,13.87,ES,1593574221
Acapulco de Juárez,16.86,-99.89,81.45,71,91,3.27,MX,1593574221
Hithadhoo,-0.6,73.08,83.93,64,86,2.15,MV,1593574221
Fairbanks,64.84,-147.72,54.0,71,75,8.19,US,1593574221
Nchelenge,-9.35,28.73,69.6,60,96,7.87,ZM,1593574221
Laguna,38.42,-121.42,86.0,28,1,6.93,US,1593574221
Langsa,4.47,97.97,88.79,59,100,1.81,ID,1593574221
Biak,-0.91,122.88,76.78,86,100,4.21,ID,1593574221
Jørpeland,59.02,6.04,57.2,71,75,10.29,NO,1593574200
Aykhal,66.0,111.5,75.2,50,97,8.95,RU,1593574222
La Ronge,55.1,-105.28,57.2,93,90,8.05,CA,1593574222
Pangnirtung,66.15,-65.71,44.94,62,27,2.13,CA,1593574222
Meulaboh,4.14,96.13,85.53,66,68,1.14,ID,1593574222
Nichinan,31.6,131.37,84.2,54,20,17.22,JP,1593574222
Kulhudhuffushi,6.62,73.07,83.17,77,88,11.12,MV,1593574222
Obo,5.4,26.49,65.91,97,97,1.28,CF,1593574222
Anloga,5.79,0.9,77.0,88,40,5.82,GH,1593574222
Saint-Augustin,51.23,-58.65,66.25,74,0,12.46,CA,1593574222
Sibu,2.3,111.82,86.0,74,40,3.36,MY,1593574223
Santa Cruz,30.42,-9.6,66.2,88,0,6.93,MA,1593574223
Isangel,-19.55,169.27,75.2,57,75,9.17,VU,1593574223
Lichtenburg,-26.15,26.16,43.03,89,1,9.51,ZA,1593574223
Shelburne,44.08,-80.2,66.99,82,1,2.24,CA,1593574223
Nabire,-3.37,135.48,83.01,76,92,1.95,ID,1593574223
Chippewa Falls,44.94,-91.39,80.6,69,1,6.93,US,1593574223
Bengkulu,-3.8,102.27,85.41,57,42,3.36,ID,1593574223
Caravelas,-17.71,-39.25,68.16,96,40,3.78,BR,1593574223
Porto-Novo,6.5,2.6,77.0,94,40,5.82,BJ,1593574223
Yulara,-25.24,130.99,75.2,17,81,5.82,AU,1593574223
Dzaoudzi,-12.79,45.27,78.8,74,20,24.16,YT,1593574223
Fallon,39.47,-118.78,82.4,14,20,5.82,US,1593574168
Mezen',65.85,44.24,58.3,61,61,15.41,RU,1593574223
Beringovskiy,63.05,179.32,41.07,96,100,5.21,RU,1593574224
Ponnāni,10.77,75.93,78.8,83,75,3.36,IN,1593574224
Taloda,21.57,74.22,88.47,62,40,7.16,IN,1593574224
Nemuro,43.32,145.57,71.6,78,75,6.93,JP,1593574224
Belgrade,44.8,20.47,66.2,72,0,3.36,RS,1593574224
Le Port,-20.94,55.29,66.2,68,0,8.05,RE,1593574224
Casma,-41.01,-73.12,50.0,87,100,14.99,CL,1593574224
Camacha,33.08,-16.33,68.0,88,40,10.29,PT,1593574224
Clyde River,70.47,-68.59,33.8,100,90,3.36,CA,1593574224
Collipulli,-37.95,-72.43,45.23,91,100,11.34,CL,1593574224
Paita,-5.09,-81.11,63.91,84,0,10.87,PE,1593574224
Nauta,-4.51,-73.58,72.19,96,0,0.63,PE,1593574224
Diego de Almagro,-26.37,-70.05,48.49,55,0,1.01,CL,1593574225
Ancud,-41.87,-73.82,50.0,93,90,14.99,CL,1593574225
Mossamedes,-15.2,12.15,67.91,74,0,6.13,AO,1593574225
Kuliyapitiya,7.47,80.04,84.2,89,40,11.41,LK,1593574225
Vestmanna,62.16,-7.17,42.8,81,97,8.05,FO,1593574225
Gualaquiza,-3.4,-78.55,61.56,90,32,1.32,EC,1593574225
Viedma,-40.81,-63.0,40.98,90,49,1.68,AR,1593574225
Novonukutskiy,53.7,102.71,84.16,44,40,2.26,RU,1593574225
Tawang Town,27.58,91.87,70.27,56,65,5.91,IN,1593574225
Nizwá,22.93,57.53,87.44,47,3,2.28,OM,1593574167
San Juan,-31.54,-68.54,42.3,64,26,2.68,AR,1593574056
Hünxe,51.65,6.78,64.0,96,100,4.0,DE,1593574226
São Gabriel da Cachoeira,-0.13,-67.09,72.54,95,15,1.12,BR,1593574227
Lufilufi,-13.87,-171.6,82.92,70,91,2.64,WS,1593574227
Solano,38.23,-121.95,84.2,39,1,19.46,US,1593574227
Van,38.49,43.38,55.4,93,40,7.87,TR,1593574227
Cap-aux-Meules,47.38,-61.86,59.0,93,90,3.36,CA,1593574227
Nantucket,41.28,-70.1,64.99,93,75,3.36,US,1593574227
Kushima,31.46,131.23,84.2,54,20,17.22,JP,1593574227
Touros,-5.2,-35.46,73.4,100,75,4.7,BR,1593574227
Coyhaique,-45.58,-72.07,37.4,87,90,3.36,CL,1593573965
Matara,5.95,80.54,84.65,72,68,10.33,LK,1593574227
Sioux Lookout,50.1,-91.92,73.4,88,40,3.36,CA,1593574227
Maridi,4.92,29.47,65.41,96,89,3.96,SS,1593574228
Mahdasht,35.73,50.81,66.2,32,0,6.93,IR,1593574228
Skjervøy,70.03,20.97,45.57,83,100,8.28,NO,1593574228
Tairua,-37.02,175.85,55.0,58,0,5.01,NZ,1593574228
Lebedinyy,58.52,125.52,76.93,40,8,11.83,RU,1593574228
Garoowe,8.41,48.48,79.84,58,99,28.43,SO,1593574228
Harper,4.38,-7.72,75.06,79,100,3.36,LR,1593574220
Itarema,-2.92,-39.92,74.7,86,0,9.06,BR,1593574228
Savinskiy,62.93,40.14,56.39,92,100,8.28,RU,1593574228
Syas'stroy,60.14,32.57,58.19,85,30,14.54,RU,1593574228
Saint-Pierre,-21.34,55.48,66.2,48,0,9.17,RE,1593574228
Pozo Colorado,-23.49,-58.8,57.02,59,78,8.99,PY,1593574228
Zákupy,50.68,14.65,60.01,80,0,3.96,CZ,1593574229
Orašac,44.63,16.07,65.66,70,0,2.91,BA,1593574229
Boa Vista,2.82,-60.67,78.8,83,75,4.23,BR,1593574229
Paine,-33.82,-70.75,48.2,81,75,9.17,CL,1593574229
Mondlo,-27.98,30.72,41.54,88,3,3.18,ZA,1593574229
Impfondo,1.64,18.07,69.46,92,99,1.61,CG,1593574229
Hervey Bay,-25.3,152.85,69.01,69,6,5.01,AU,1593574229
São João da Barra,-21.64,-41.05,68.7,85,4,10.45,BR,1593574229
Shimoda,34.67,138.95,75.2,100,75,25.28,JP,1593574229
Santa Rosa,14.31,121.11,91.99,59,75,0.54,PH,1593574229
Zhalantun,48.0,122.72,82.24,37,100,5.17,CN,1593574229
Bilma,18.69,12.92,84.81,13,0,6.89,NE,1593574230
Buraidah,26.33,43.98,80.6,34,0,3.36,SA,1593574230
Mayo,38.89,-76.51,77.0,78,90,6.93,US,1593574230
Okhotsk,59.38,143.3,56.48,67,79,8.52,RU,1593574230
Batagay-Alyta,67.8,130.41,78.06,33,51,10.58,RU,1593574230
Longyearbyen,78.22,15.64,44.6,56,100,11.41,SJ,1593574230
Pacifica,37.61,-122.49,59.0,82,20,17.22,US,1593574230
Gallup,35.53,-108.74,70.0,15,1,4.7,US,1593574230
Vostok,46.49,135.88,75.6,37,0,6.6,RU,1593574230
Barra,-11.09,-43.14,74.28,71,34,8.7,BR,1593574230
Lorengau,-2.02,147.27,85.48,67,65,6.71,PG,1593574230
Nanortalik,60.14,-45.24,40.15,87,84,6.91,GL,1593574231
Mongo,12.18,18.69,78.1,70,100,10.25,TD,1593574231
Alugan,12.22,125.48,86.23,63,67,8.32,PH,1593574231
Caramay,10.18,119.24,86.9,65,10,7.02,PH,1593574231
Makassar,-5.14,119.42,82.4,78,20,4.7,ID,1593574231
Norman Wells,65.28,-126.83,59.0,82,75,13.87,CA,1593574231
Padang,-0.95,100.35,85.96,57,20,4.47,ID,1593574231
Bathsheba,13.22,-59.52,80.6,83,20,13.87,BB,1593574231
Sherlovaya Gora,50.57,116.25,71.2,56,100,3.74,RU,1593574232
Aklavik,68.22,-135.01,59.0,62,75,10.29,CA,1593574232
Deputatsky,69.3,139.9,62.73,36,100,10.09,RU,1593574232
Quatre Cocos,-20.21,57.76,68.0,93,40,6.93,MU,1593574232
Kieta,-6.22,155.63,83.62,66,79,5.5,PG,1593574232
Nhulunbuy,-12.23,136.77,84.2,62,75,13.87,AU,1593574232
Kaeo,-35.1,173.78,60.01,19,53,7.0,NZ,1593574232
Oddur,4.12,43.89,71.2,74,76,23.13,SO,1593574232
Igrim,63.19,64.42,59.72,63,26,1.92,RU,1593574232
Dhemāji,27.48,94.58,80.6,94,90,4.7,IN,1593574232
Pa Sang,18.53,98.94,91.0,62,20,6.93,TH,1593574232
Half Moon Bay,37.46,-122.43,66.0,87,90,5.82,US,1593574047
Acajutla,13.59,-89.83,75.0,92,54,5.48,SV,1593574233
Muhafazat Lahij,13.17,44.58,83.7,62,100,4.29,YE,1593574233
Danville,36.59,-79.39,73.99,88,1,4.7,US,1593574233
Gonbad-e Kāvūs,37.25,55.17,71.6,78,0,5.17,IR,1593574233
Marsá Maţrūḩ,31.35,27.25,68.0,88,0,10.29,EG,1593574234
Ola,59.58,151.28,57.52,53,97,9.42,RU,1593574234
Yakovlevka,44.42,133.48,80.67,44,1,7.76,RU,1593574234
Yangi Marg`ilon,40.43,71.72,82.4,24,21,4.7,UZ,1593574235
Muros,42.78,-9.06,64.0,92,81,7.0,ES,1593574235
Lapão,-11.38,-41.83,63.72,93,0,8.25,BR,1593574236
Vallenar,-28.57,-70.76,60.03,32,17,3.49,CL,1593574236
Fortuna,40.6,-124.16,55.99,82,40,12.75,US,1593574236
Jiuquan,39.74,98.52,83.25,17,0,9.6,CN,1593574236
Port-Cartier,50.03,-66.87,53.6,93,20,2.24,CA,1593574236
La Orilla,17.98,-102.23,79.02,84,28,3.0,MX,1593574207
Sobolevo,54.43,31.9,59.07,91,21,7.72,RU,1593574236
Luena,-11.78,19.92,51.04,60,57,4.68,AO,1593574236
Atikokan,48.76,-91.62,70.3,92,33,7.56,CA,1593574236
Klaksvík,62.23,-6.59,42.8,81,100,8.05,FO,1593574236
Mahébourg,-20.41,57.7,62.6,93,40,6.93,MU,1593574237
Ahipara,-35.17,173.17,55.62,76,19,14.92,NZ,1593574237
Mogadouro,41.34,-6.71,59.0,90,0,4.85,PT,1593574237
Tazmalt,36.39,4.4,86.0,33,3,10.29,DZ,1593574237
Itaituba,-4.28,-55.98,74.98,86,65,1.45,BR,1593573958
Jining,35.41,116.58,86.9,35,25,5.84,CN,1593574237
Te Anau,-45.42,167.72,41.94,77,60,2.44,NZ,1593574237
Port Hedland,-20.32,118.57,82.4,30,92,4.7,AU,1593574237
Sirte,31.21,16.59,70.92,74,0,3.22,LY,1593574237
Barcelos,41.54,-8.62,64.4,88,90,11.41,PT,1593574237
Golden,39.76,-105.22,73.99,32,40,11.41,US,1593574237
Pisco,-13.7,-76.22,62.6,82,75,3.36,PE,1593574237
Kambove,-10.88,26.6,57.24,77,90,8.14,CD,1593574238
Marovoay,-16.1,46.63,68.0,94,20,5.82,MG,1593574238
Marawi,8.0,124.29,73.09,81,92,0.36,PH,1593574238
Tataouine,32.93,10.45,77.0,53,0,3.83,TN,1593574238
Bonoua,5.27,-3.6,77.0,94,40,4.5,CI,1593574238
Mokobeng,-23.0,27.67,46.53,89,0,4.27,BW,1593574238
Mugumu,-1.85,34.7,56.23,69,85,3.85,TZ,1593574239
Weihai,37.5,122.11,74.28,69,0,12.24,CN,1593574239
Gōtsuchō,35.0,132.22,66.2,93,75,3.36,JP,1593574239
Santiago,-33.46,-70.65,48.2,81,75,9.17,CL,1593574050
Sauk Rapids,45.59,-94.17,80.01,74,75,6.93,US,1593574239
Mozarlândia,-14.74,-50.57,68.81,59,50,3.47,BR,1593574239
Felanitx,39.47,3.15,71.6,78,0,4.7,ES,1593574239
Kaitong,44.81,123.15,84.92,36,84,11.39,CN,1593574239
Ixtapa,20.7,-105.2,84.2,74,75,6.93,MX,1593574239
Aasiaat,68.71,-52.87,36.73,82,100,1.77,GL,1593574239
Hargeisa,9.56,44.06,70.36,63,96,34.23,SO,1593574239
Itamaracá,-7.75,-34.83,75.2,88,75,4.7,BR,1593574240
Zhuhai,22.28,113.57,95.0,79,20,3.36,CN,1593574240
Pestovo,58.59,35.8,57.06,93,93,6.6,RU,1593574240
Rohatyn,49.41,24.61,60.01,87,4,2.24,UA,1593574240
Shar,49.59,81.05,78.82,35,88,9.1,KZ,1593574240
Santa Maria,-29.68,-53.81,50.56,83,100,19.24,BR,1593574240
Fernández,-27.92,-63.89,50.31,47,0,8.1,AR,1593574240
Guipavas,48.44,-4.4,57.2,100,90,9.17,FR,1593574240
Ossora,59.24,163.07,57.33,38,26,14.16,RU,1593574240
Kočevje,45.64,14.86,66.0,89,0,1.41,SI,1593574240
Chapais,49.78,-74.85,66.2,77,1,3.36,CA,1593574240
Portland,45.52,-122.68,64.4,59,75,9.17,US,1593573443
Finschhafen,-6.6,147.87,76.39,88,100,11.27,PG,1593574240
Udachny,66.42,112.4,75.2,50,96,8.95,RU,1593574241
Laurel,39.1,-76.85,77.0,100,40,3.36,US,1593574209
San Vicente de Cañete,-13.08,-76.38,61.12,82,97,3.42,PE,1593574241
São Félix do Xingu,-6.64,-51.99,72.32,75,55,1.19,BR,1593574241
Chipata,-13.63,32.65,51.75,84,61,9.78,ZM,1593574241
Soe,-9.86,124.28,78.08,50,76,8.21,ID,1593574241
Deder,9.32,41.45,57.56,90,100,8.55,ET,1593574241
Lavrentiya,65.58,-171.0,43.21,94,100,12.84,RU,1593574241
Doha,25.29,51.53,95.0,30,0,1.86,QA,1593574114
Puerto Ayacucho,5.66,-67.62,75.88,86,65,2.84,VE,1593574241
Ndola,-12.96,28.64,53.2,87,3,7.36,ZM,1593574036
Karaman Province,37.08,33.25,60.06,55,0,18.57,TR,1593574241
Vestmannaeyjar,63.44,-20.27,49.21,87,99,12.77,IS,1593574241
Idrinskoye,54.37,92.14,72.63,75,70,1.23,RU,1593574242
Lębork,54.54,17.75,61.0,67,54,10.29,PL,1593574242
Kharp,66.8,65.81,51.94,52,0,5.84,RU,1593574242
Guerrero Negro,27.98,-114.06,65.1,78,0,14.27,MX,1593574242
Naze,28.37,129.48,77.0,100,75,17.22,JP,1593574242
Guane,22.2,-84.09,77.83,86,4,3.96,CU,1593574242
Hanmer Springs,-42.52,172.82,36.25,85,100,4.43,NZ,1593574242
Cooma,-36.23,149.13,55.4,54,17,13.87,AU,1593574242
Seoul,37.57,126.98,73.4,78,90,5.82,KR,1593574201
Verkhoyansk,67.54,133.38,78.39,28,45,8.05,RU,1593574242
Charlestown,-32.95,151.67,70.0,47,0,7.0,AU,1593574243
Richards Bay,-28.78,32.04,59.59,81,49,3.78,ZA,1593574243
Makakilo City,21.35,-158.09,87.8,48,1,6.93,US,1593574243
Ratholo,-22.72,27.57,46.38,91,0,5.44,BW,1593574243
Saint Anthony,45.02,-93.22,82.4,65,1,8.05,US,1593574243
City of San Pedro,14.35,121.02,91.99,59,75,1.77,PH,1593574243
Ejido,8.55,-71.24,65.26,58,29,5.3,VE,1593574243
Piro,25.33,84.42,96.96,41,12,3.13,IN,1593574243
San Pascual,13.8,121.03,87.01,77,99,4.0,PH,1593574244
Umm Hājar,13.3,19.7,82.56,56,100,14.9,TD,1593574244
Pizarro,4.95,-77.37,77.07,86,99,0.83,CO,1593574244
Tolú,9.52,-75.58,78.35,88,100,8.59,CO,1593574244
Fayaoué,-20.65,166.53,70.48,65,7,18.88,NC,1593574244
Praia da Vitória,38.73,-27.07,64.4,93,75,7.23,PT,1593574244
Karlskoga,59.33,14.52,55.4,87,47,6.93,SE,1593574245
Isoka,-10.16,32.63,55.36,91,51,6.69,ZM,1593574245
Kysyl-Syr,63.9,122.76,89.55,25,0,7.34,RU,1593574245
Dombarovskiy,50.76,59.54,62.11,59,87,11.18,RU,1593574246
Skibbereen,51.55,-9.27,51.8,87,75,8.05,IE,1593574246
Oxford,51.75,-1.26,59.0,87,78,11.41,GB,1593573948
Palmer,42.16,-72.33,68.0,100,90,3.36,US,1593573982
Tongliao,43.61,122.27,85.06,36,100,12.33,CN,1593574246
Fergus Falls,46.28,-96.08,82.4,74,90,18.34,US,1593574119
Chifeng,42.27,118.96,79.02,44,88,6.31,CN,1593574246
Shirokiy,49.76,129.52,80.19,67,0,7.85,RU,1593574246
Tabuk,17.42,121.44,87.49,69,98,4.76,PH,1593574246
Masuguru,-11.37,38.42,67.3,68,21,3.56,TZ,1593574246
Tubualá,9.52,-79.03,77.0,94,75,4.7,PA,1593574246
Meadville,41.64,-80.15,66.2,82,1,6.93,US,1593574163
Muravlenko,63.79,74.52,55.92,64,48,4.12,RU,1593574247
Dongsheng,39.82,109.98,78.28,31,98,3.15,CN,1593574247
Arman',59.7,150.17,58.46,51,100,6.78,RU,1593574247
Zomin,39.96,68.4,85.39,17,0,4.97,UZ,1593574247
Gwadar,25.12,62.33,86.16,71,47,3.67,PK,1593574247
Gamba,-2.65,10.0,68.97,89,68,1.86,GA,1593574247
Victor Harbor,-35.57,138.62,64.0,48,0,3.0,AU,1593574247
Lunino,53.59,45.23,59.0,49,100,9.1,RU,1593574247
Eravur,7.77,81.61,87.73,55,88,3.13,LK,1593574247
Omboué,-1.57,9.26,69.78,87,34,1.16,GA,1593574247
Poum,-20.23,164.02,70.65,65,51,15.79,NC,1593574248
Artyom,40.47,50.33,73.4,88,20,2.24,AZ,1593574248
Formosa,-26.18,-58.18,55.4,66,54,12.75,AR,1593574248
Maniitsoq,65.42,-52.9,50.02,61,100,10.49,GL,1593574248
Irará,-12.05,-38.77,64.22,96,7,3.91,BR,1593574248
Merauke,-8.47,140.33,80.02,74,98,15.08,ID,1593574248
Saposoa,-6.93,-76.77,69.94,91,11,2.01,PE,1593574248
La Trinité,14.74,-60.96,82.4,78,75,9.17,MQ,1593574248
Jacareacanga,-6.22,-57.75,75.4,76,40,1.74,BR,1593574249
Vila Praia de Âncora,41.81,-8.85,66.99,93,75,5.82,PT,1593574249
Helena,46.59,-112.04,57.2,71,40,4.7,US,1593574074
Noumea,-22.28,166.46,73.4,49,75,16.11,NC,1593574118
Rawson,-43.3,-65.1,44.29,87,100,17.81,AR,1593574249
Lingao,19.91,109.69,88.88,61,89,6.33,CN,1593574249
Nyurba,63.28,118.33,88.12,31,0,7.27,RU,1593574249
Abhā,18.22,42.51,73.4,43,76,10.2,SA,1593574249
Whithorn,18.26,-78.04,80.6,78,20,4.7,JM,1593574250
Keetmanshoop,-26.58,18.13,51.8,40,0,10.29,NA,1593574250
Vicuña,-30.03,-70.71,50.0,70,79,4.81,CL,1593574250
Grants,35.15,-107.85,69.8,13,1,8.05,US,1593574250
Haverfordwest,51.8,-4.97,57.99,100,100,24.16,GB,1593574250
